CODESTAB,G1V,G1C,G2V,G2C,G3V,G3C,G4V,G4C,G5V,G5C,G6V,G6C,G7V,G7C,G8V,G8C,G9V,G9C,G10V,G10C,SCORE
5174465,37.0,530.0,107.0,2.0,44.0,242.0,101.0,2.0,30.0,454.0,1.0,27.0,1.0,26.0,1.0,43.0,0.0,0.0,52.0,137.0,325.0
3309959,16.0,426.0,54.0,36.0,20.0,105.0,83.0,11.0,11.0,298.0,1.0,13.0,0.0,13.0,0.0,21.0,1.0,14.0,27.0,95.0,324.0
2084090,12.0,202.0,0.0,0.0,16.0,63.0,1.0,1.0,2.0,98.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,16.0,323.0
2078406,1.0,51.0,4.0,0.0,4.0,11.0,3.0,2.0,3.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,12.0,322.0
2081628,4.0,125.0,19.0,13.0,9.0,34.0,14.0,2.0,4.0,77.0,1.0,9.0,0.0,4.0,0.0,6.0,0.0,0.0,5.0,13.0,321.0
6817203,5.0,45.0,12.0,3.0,4.0,18.0,13.0,1.0,1.0,26.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,0.0,8.0,22.0,320.0
2080796,12.0,290.0,9.0,14.0,17.0,63.0,14.0,7.0,6.0,227.0,0.0,32.0,0.0,7.0,2.0,14.0,0.0,2.0,9.0,48.0,319.0
2784874,3.0,14.0,0.0,0.0,2.0,8.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,318.0
2091801,43.0,472.0,2.0,10.0,61.0,205.0,12.0,8.0,8.0,263.0,0.0,7.0,1.0,9.0,0.0,4.0,0.0,0.0,13.0,86.0,317.0
2078155,3.0,21.0,23.0,17.0,1.0,5.0,17.0,3.0,6.0,30.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,316.0
3037274,86.0,3644.0,379.0,303.0,56.0,184.0,219.0,28.0,57.0,2210.0,8.0,311.0,8.0,119.0,17.0,412.0,0.0,4.0,91.0,527.0,315.0
2079887,1.0,19.0,3.0,1.0,1.0,3.0,2.0,0.0,1.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,314.0
2079607,4.0,101.0,3.0,1.0,10.0,31.0,1.0,0.0,3.0,60.0,1.0,4.0,0.0,4.0,0.0,3.0,0.0,1.0,4.0,27.0,313.0
6938876,2.0,43.0,1.0,0.0,3.0,8.0,2.0,1.0,1.0,35.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,9.0,312.0
2080133,4.0,58.0,6.0,10.0,6.0,16.0,3.0,7.0,1.0,43.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,311.0
3024660,1.0,36.0,5.0,2.0,4.0,9.0,1.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,310.0
7013981,1.0,25.0,4.0,2.0,3.0,10.0,5.0,1.0,0.0,28.0,0.0,5.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0,2.0,309.0
3045625,8.0,129.0,73.0,4.0,12.0,47.0,83.0,7.0,12.0,72.0,1.0,2.0,1.0,2.0,1.0,20.0,0.0,1.0,29.0,32.0,308.0
6563570,7.0,146.0,25.0,8.0,8.0,25.0,21.0,2.0,3.0,66.0,0.0,11.0,0.0,2.0,0.0,8.0,0.0,0.0,13.0,23.0,307.0
6668143,34.0,538.0,67.0,58.0,36.0,105.0,49.0,16.0,5.0,374.0,1.0,36.0,2.0,28.0,2.0,64.0,0.0,0.0,35.0,141.0,306.0
2078082,93.0,950.0,1.0,1.0,101.0,228.0,2.0,0.0,16.0,514.0,0.0,3.0,0.0,0.0,0.0,47.0,0.0,0.0,32.0,176.0,305.0
2080001,2.0,69.0,38.0,19.0,10.0,24.0,23.0,2.0,9.0,71.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,304.0
2078589,41.0,774.0,257.0,149.0,50.0,120.0,161.0,29.0,52.0,601.0,2.0,36.0,3.0,34.0,4.0,33.0,0.0,0.0,46.0,127.0,303.0
2688603,50.0,960.0,61.0,84.0,32.0,66.0,32.0,4.0,11.0,674.0,0.0,59.0,1.0,36.0,4.0,75.0,0.0,4.0,26.0,142.0,302.0
